,USA,France,Canada,Brésil,Chili,UK,Espagne
2010,1.84208107,0.576326675,2.329122506,3.004846305,4.045004298,2.139485718,-1.435394259
2015,2.425358794,0.881807356,1.952778482,-0.012320449,2.705170373,2.367495308,1.261228781
